289,石炭記念館,"宇部市発展の基盤となった石炭産業の歴史を後世に伝えるため、1969年（昭和44年）に日本初の石炭記念館として誕生しました。記念館のシンボルとなっている展望台は、東見初炭鉱で実際に使われていた竪坑櫓を移設して造られたものです。館内には、近代化産業遺産に選ばれた3,000点を超える収蔵品が収められた資料館やモデル坑道を備えています。また、屋外には蒸気機関車などを展示しています。",ときわ公園(51:tokiwapark),,1,則貞三丁目4番1号,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0289_001.jpg,,毎週火曜日（祝日の場合は翌日）※春休み・夏休みは開館,33.945614,131.285322,"普通車（15分まで）無料,（2時間まで）200円,（3時間まで）300円,（4時間まで）400円,（4時間~1日）500円大型車（2時間まで）800円,（3時間まで）1,200円,（4時間まで）1,600円,（4時間~1日）2,000円※大型車は車高2.5m以上が対象",0836-31-5281,無料,JR宇部新川駅からバス15分／ときわ公園入口バス停下車徒歩約3分
290,ときわミュージアム本館,"様々な種類のサボテンやランなどが一年を通して楽しめる熱帯植物室（温室）や、窓から彫刻野外展示場を見渡すことのできるカフェなどがあります。
熱帯植物室
約260種3100株の熱帯植物を展示。パパイヤ、バナナ、マンゴーなどの南国果実も！
サボテン室
多種多様な約370種2000株のサボテンを展示。サボテンの花って可憐でかわいいんです。
ラン室
一年を通して楽しめるラン室は高貴な香りに満たされています。",ときわ公園(51:tokiwapark),,2,野中三丁目4番29号,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0290_001.jpg,9:00～17:00,祝日以外の火曜日、12/29～1/1,33.948598,131.281999,"普通車（15分まで）無料,（2時間まで）200円,（3時間まで）300円,（4時間まで）400円,（4時間~1日）500円大型車（2時間まで）800円,（3時間まで）1,200円,（4時間まで）1,600円,（4時間~1日）2,000円※大型車は車高2.5m以上が対象",0836-37-2888,無料,JR宇部新川駅からバス25分／ときわミュージアムバス停下車徒歩2分
291,宇部市渡辺翁記念会館,宇部市発展の大きく寄与した渡辺祐策の功績を記念して1937年（昭和12年）に建てられた宇部市が誇る昭和の名建築です。建築家・村野藤吾の設計による同館は、昭和初期の近代建築屈指の名作と評価され、2005年（平成17年）には国の重要文化財に指定されました。建築デザインのすばらしさだけでなく、音響効果の優れたホールとしても広く知られています。,南部エリア(49:south),,3,朝日町8番1号,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0291_001.jpg,,,33.957922,131.244995,,0836-31-7373,,JR宇部新川駅下車徒歩3分
292,旧宇部銀行館（ヒストリア宇部）,1912年（明治45年）に創立した地元金融機関「宇部銀行」本店として、1939年（昭和14年）、村野藤吾氏の設計で建築されました。現在は「ヒストリア宇部」の愛称で、多目的ホール、喫茶として市民の交流の場となっています。,南部エリア(49:south),,4,新天町一丁目1番1号,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0292_001.jpg,9:00～22:00（カフェは11:00～19:00）,毎週第2火曜、12/29～1/3,33.951154,131.24598,,0836-37-1400,,市役所前バス停下車徒歩1分
293,片倉温泉くぼた,神経痛、リウマチ、皮膚病、やけどなどの湯治場として、市民や健康祈願のお地蔵様として名高い北向地蔵に参拝にこられた方に親しまれてきた天然温泉。サウナや露天風呂もあり、一日のんびりできます。,南部エリア(49:south),,5,西岐波下片倉,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0293_001.jpg,平日9:00～12:00、17:00～21:00 日曜9:00～21:00,第3水曜,33.973176,131.299144,,0836-51-9259,入浴料／大人420円、こども210円,JR宇部線床波駅からバス停「温泉口」下車すぐ
294,キワ・ラ・ビーチ,地中海リゾートをイメージしたレジャー施設。キャンプやバーベキュー、穏やかな遠浅の海では潮干狩りや海水浴が楽しめます。,南部エリア(49:south),,6,東岐波岐波,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0294_001.jpg,,,33.986908,131.354896,,0836-34-8353（宇部市観光交流課）,"キャンプ1,000円、潮干狩り250円",JR宇部線岐波駅から徒歩10分
295,北向地蔵,明治時代から病気回復のお地蔵様として市民に愛され続けています。毎月24日の縁日には臨時バスが往復するほどの賑わいで、年間30～35万人もの参拝客が訪れる人気のお地蔵様です。,南部エリア(49:south),,7,西岐波上片倉,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0295_001.jpg,,,33.982709,131.302526,,0836-54-2391,,JR宇部新川駅から市営バスで20分
296,山口宇部空港,空の玄関口である山口宇部空港は、海に見立ててデザインされた建物が印象的な空港です。宇部市はもちろん山口県内のお土産が手に入る場所でもあります。空港東側にはふれあい公園や飛行機を間近に見られる遊歩道などがあり、市民の憩いの場となっています。,南部エリア(49:south),,8,沖宇部625番地,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0296_001.jpg,,,33.933306,131.27483,約1500台無料,0836-21-5841,,
297,宗隣寺,777年（宝亀8年）に始まり、1670年（寛文10年）、宇部領主であった福原氏が寺の再興をはかり菩提所として再建しました。本堂北側にある「龍心庭」は、南北朝時代に築かれた山口県最古の庭園で、小石を敷き詰めた池の浅瀬は「干潟様」と称し、古庭園では岩手県の毛越寺とここにしか現存しない貴重な庭園で、国の名勝庭園に指定されています。,南部エリア(49:south),,9,小串210番地,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0297_001.jpg,9:00～17:00,,33.966185,131.252581,20台（無料）,0836-21-1087,大人300円　中学生以下150円,宇部市営バス「小串」下車
298,福原史跡公園,宇部の領主福原家は毛利藩の永代家老として、萩堀内の屋敷に暮らし、宇部の邸は御田屋（おたや）（遠方の田地を経営するために設けた建物）と呼ばれていました。1976年（昭和51年）、市の史跡公園として開放された園内には、井戸跡、屋敷神、樹木が残存しています。表門は、萩屋敷の正門（県有形文化財）を3分の2に縮小模造したもので、階段は、神原公園にあった福原越後公銅像の台座が使われています。また3月下旬には、「福原まつり」が開かれ、鵜の島開作、常盤池の築造、新川（真締川）開通などの業績を伝えています。,南部エリア(49:south),,10,中尾一丁目,http://odcs.bodik.jp/352021/wp-content/uploads/sites/8/2016/08/kanko_spot_0298_001.jpg,,,33.968138,131.265753,,,,JR宇部新川駅からバスで中尾バス停下車、徒歩5分
